Month,All_Others,BRICS,EU,US,All
Jan,0.0,0.0,0.0,0.0,0.0
Feb,1.6,0.0,0.2,0.0,1.8
Mar,5.500000000000001,0.0,0.4,0.1,6.000000000000001
Apr,23.20000000000002,0.5,5.299999999999999,0.2,29.200000000000088
May,19.2,0.7999999999999999,6.099999999999996,0.4,26.500000000000068
Jun,14.599999999999966,0.6,5.999999999999995,0.4,21.600000000000016
Jul,14.299999999999974,0.5,6.399999999999993,0.0,21.20000000000002
Aug,8.29999999999999,0.4,4.000000000000003,0.0,12.699999999999978
Sep,9.69999999999999,0.5,3.900000000000002,0.0,14.099999999999975
